Year,CW,Vegetable,Bangalore Price (Rs./Quintal),Delhi Price (Rs./Quintal),Hyderabad Price (Rs./Quintal),Kolkata Price (Rs./Quintal),Pune Price (Rs./Quintal),Andaman & Nicobar Islands,Arunachal Pradesh,Assam & Meghalaya,Naga Mani Mizo Tripura,Sub Himalayan West Bengal & Sikkim,Gangetic West Bengal,Orissa,Jharkhand,Bihar,East Uttar Pradesh,West Uttar Pradesh,Uttarakhand,Haryana Delhi & Chandigarh,Punjab,Himachal Pradesh,Jammu & Kashmir,West Rajasthan,East Rajasthan,West Madhya Pradesh,East Madhya Pradesh,Gujarat Region,Saurashtra & Kutch,Konkan & Goa,Madhya Maharashtra,Matathwada,Vidarbha,Chhattisgarh,Coastal Andhra Pradesh,Telangana,Rayalseema,Tamil Nadu,Coastal Karnataka,North Interior Karnataka,South Interior Karnataka,Kerala,Lakshadweep
2015,1,Onion,1200,1462,1125,1967,1175,126.8,30.8,13.4,14.4,15.7,12.9,15.1,12.2,12.8,30,31.6,54.5,12.4,17.7,67.2,27.9,1.4,12.1,40.2,37.3,1.8,0.9,2.7,1.4,10.1,26.3,15.8,2,17.5,1.9,8.3,1.4,2.4,1.7,3.1,2.2
2015,2,Onion,1359,1383,1260,1596,1290,126.8,30.8,13.4,14.4,15.7,12.9,15.1,12.2,12.8,30,31.6,54.5,12.4,17.7,67.2,27.9,1.4,12.1,40.2,37.3,1.8,0.9,2.7,1.4,10.1,26.3,15.8,2,17.5,1.9,8.3,1.4,2.4,1.7,3.1,2.2
2015,3,Onion,1208,1256,906,1771,1167,126.8,30.8,13.4,14.4,15.7,12.9,15.1,12.2,12.8,30,31.6,54.5,12.4,17.7,67.2,27.9,1.4,12.1,40.2,37.3,1.8,0.9,2.7,1.4,10.1,26.3,15.8,2,17.5,1.9,8.3,1.4,2.4,1.7,3.1,2.2
2015,4,Onion,1352,1321,1130,1625,1150,126.8,30.8,13.4,14.4,15.7,12.9,15.1,12.2,12.8,30,31.6,54.5,12.4,17.7,67.2,27.9,1.4,12.1,40.2,37.3,1.8,0.9,2.7,1.4,10.1,26.3,15.8,2,17.5,1.9,8.3,1.4,2.4,1.7,3.1,2.2
2015,5,Onion,1323,1412,1400,1750,1120,126.8,30.8,13.4,14.4,15.7,12.9,15.1,12.2,12.8,30,31.6,54.5,12.4,17.7,67.2,27.9,1.4,12.1,40.2,37.3,1.8,0.9,2.7,1.4,10.1,26.3,15.8,2,17.5,1.9,8.3,1.4,2.4,1.7,3.1,2.2
2015,6,Onion,1398,1494,1633,2000,1250,7.6,47.5,15.5,14.2,15,5.5,3.3,2.6,1.8,4.1,7.2,62.6,6.6,31.3,156.6,187.2,0.9,0.1,6.4,11,0,0,0,0.8,1.6,4.7,1.2,0.6,0,0,2.3,1,0,0.2,5.8,0.5
2015,7,Onion,1437,1550,1165,2042,1125,7.6,47.5,15.5,14.2,15,5.5,3.3,2.6,1.8,4.1,7.2,62.6,6.6,31.3,156.6,187.2,0.9,0.1,6.4,11,0,0,0,0.8,1.6,4.7,1.2,0.6,0,0,2.3,1,0,0.2,5.8,0.5
2015,8,Onion,1393,1594,1263,1875,1193,7.6,47.5,15.5,14.2,15,5.5,3.3,2.6,1.8,4.1,7.2,62.6,6.6,31.3,156.6,187.2,0.9,0.1,6.4,11,0,0,0,0.8,1.6,4.7,1.2,0.6,0,0,2.3,1,0,0.2,5.8,0.5
2015,9,Onion,1423,1554,1238,1875,1110,7.6,47.5,15.5,14.2,15,5.5,3.3,2.6,1.8,4.1,7.2,62.6,6.6,31.3,156.6,187.2,0.9,0.1,6.4,11,0,0,0,0.8,1.6,4.7,1.2,0.6,0,0,2.3,1,0,0.2,5.8,0.5
2015,10,Onion,1344,1568,1210,1844,1090,3.1,97.5,37.5,21.6,64.8,19.3,10.5,21.6,27.2,48.2,66.8,127.3,71.8,68.5,192.5,341.4,30.3,55.9,53.5,73.4,6.1,4.4,36.8,41.2,32,66.3,21.2,5.5,43,13.4,21.7,32.3,27.5,24.4,50.1,3.7
2015,11,Onion,1434,1527,1117,1458,1113,3.1,97.5,37.5,21.6,64.8,19.3,10.5,21.6,27.2,48.2,66.8,127.3,71.8,68.5,192.5,341.4,30.3,55.9,53.5,73.4,6.1,4.4,36.8,41.2,32,66.3,21.2,5.5,43,13.4,21.7,32.3,27.5,24.4,50.1,3.7
2015,12,Onion,1298,1473,1038,1250,996,3.1,97.5,37.5,21.6,64.8,19.3,10.5,21.6,27.2,48.2,66.8,127.3,71.8,68.5,192.5,341.4,30.3,55.9,53.5,73.4,6.1,4.4,36.8,41.2,32,66.3,21.2,5.5,43,13.4,21.7,32.3,27.5,24.4,50.1,3.7
2015,13,Onion,1119,1186,650,1271,834,3.1,97.5,37.5,21.6,64.8,19.3,10.5,21.6,27.2,48.2,66.8,127.3,71.8,68.5,192.5,341.4,30.3,55.9,53.5,73.4,6.1,4.4,36.8,41.2,32,66.3,21.2,5.5,43,13.4,21.7,32.3,27.5,24.4,50.1,3.7
2015,14,Onion,1188,1198,1630,1250,917,3.1,97.5,37.5,21.6,64.8,19.3,10.5,21.6,27.2,48.2,66.8,127.3,71.8,68.5,192.5,341.4,30.3,55.9,53.5,73.4,6.1,4.4,36.8,41.2,32,66.3,21.2,5.5,43,13.4,21.7,32.3,27.5,24.4,50.1,3.7
